epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
29,4697.56,0.25959,0.35389,0.4154,0.89555,0.91161,0.93779,0.95763,0.94869,0.90936,0.93532,0.95472,0.94728,0.17373,0.51955,0.31668,0.81955,0.000495062,0.000495062,0.000495062
30,4847.16,0.25563,0.34867,0.40608,0.8934,0.92761,0.92715,0.96277,0.95227,0.92639,0.92592,0.96046,0.95113,0.16078,0.37465,0.30516,0.81297,0.000473064,0.000473064,0.000473064
31,5002.42,0.25805,0.3503,0.40257,0.89593,0.91898,0.92171,0.95985,0.94992,0.91775,0.92048,0.95829,0.95022,0.17015,0.3398,0.30051,0.81707,0.000451066,0.000451066,0.000451066
32,5159.3,0.25345,0.34608,0.37561,0.8949,0.94252,0.88739,0.95559,0.94698,0.94118,0.88616,0.95441,0.94547,0.16782,0.48145,0.31179,0.81385,0.000429068,0.000429068,0.000429068
33,5315.75,0.25433,0.34764,0.37696,0.89646,0.92673,0.93539,0.95654,0.94959,0.92556,0.93415,0.95597,0.94872,0.16132,0.38078,0.30537,0.81123,0.00040707,0.00040707,0.00040707
34,5474.03,0.24996,0.34256,0.35674,0.8924,0.93368,0.93393,0.95989,0.95387,0.93241,0.9327,0.9588,0.9515,0.15375,0.44673,0.28288,0.8057,0.000385073,0.000385073,0.000385073
35,5623.75,0.24638,0.33339,0.34079,0.89138,0.91848,0.92303,0.95691,0.9503,0.91729,0.9218,0.95729,0.94772,0.15332,0.43234,0.30117,0.80742,0.000363075,0.000363075,0.000363075
36,5781.11,0.24434,0.33834,0.34204,0.89202,0.93644,0.91839,0.95691,0.95022,0.93516,0.91716,0.95623,0.9487,0.14878,0.44016,0.29232,0.80362,0.000341077,0.000341077,0.000341077
37,5933.24,0.24356,0.33287,0.33629,0.88743,0.91812,0.93217,0.95602,0.95067,0.9169,0.93093,0.95621,0.94803,0.1466,0.41346,0.28947,0.80017,0.000319079,0.000319079,0.000319079
38,6086.8,0.24166,0.33228,0.33114,0.88954,0.92547,0.9291,0.96077,0.95424,0.9242,0.92787,0.96018,0.95278,0.14425,0.50856,0.28809,0.80082,0.000297081,0.000297081,0.000297081
39,6241.65,0.23208,0.31798,0.31151,0.88493,0.92458,0.93043,0.95753,0.95245,0.92341,0.9292,0.95764,0.9495,0.14415,0.58871,0.28364,0.80242,0.000275084,0.000275084,0.000275084
40,6394.62,0.23605,0.32799,0.31222,0.88671,0.93127,0.94009,0.96284,0.95707,0.93006,0.93886,0.96184,0.95545,0.14248,0.48325,0.26422,0.79934,0.000253086,0.000253086,0.000253086
41,6735.99,0.16107,0.22892,0.23273,0.83857,0.91936,0.91335,0.95281,0.9449,0.91936,0.91335,0.95181,0.94378,0.14454,0.46118,0.31357,0.80006,0.000231088,0.000231088,0.000231088
42,6897.65,0.15556,0.22267,0.22074,0.83716,0.93567,0.92091,0.95618,0.95151,0.93567,0.92091,0.95618,0.94933,0.14308,0.52464,0.29471,0.79784,0.00020909,0.00020909,0.00020909
43,7056.51,0.15146,0.21869,0.20158,0.83354,0.92269,0.91828,0.95515,0.95131,0.92146,0.91705,0.95445,0.94918,0.13228,0.47904,0.31256,0.79244,0.000187092,0.000187092,0.000187092
44,7208.65,0.14213,0.2152,0.1836,0.8325,0.93319,0.93497,0.96128,0.95686,0.93198,0.93374,0.96098,0.95438,0.13028,0.47247,0.26907,0.79181,0.000165095,0.000165095,0.000165095
45,7362.31,0.14335,0.21321,0.17869,0.82897,0.94904,0.92882,0.95897,0.95445,0.94778,0.92758,0.95802,0.95229,0.12837,0.47393,0.26427,0.79109,0.000143097,0.000143097,0.000143097
46,7516.85,0.13779,0.20805,0.16655,0.82381,0.9522,0.93233,0.96334,0.95967,0.95085,0.93113,0.96227,0.95631,0.12854,0.47927,0.25805,0.79118,0.000121099,0.000121099,0.000121099
47,7666.46,0.13394,0.20903,0.16523,0.82403,0.94754,0.91273,0.96509,0.96157,0.9463,0.9115,0.96401,0.95807,0.12757,0.47964,0.25812,0.78923,9.91012e-05,9.91012e-05,9.91012e-05
48,7824.11,0.13147,0.20675,0.14724,0.82386,0.9429,0.94968,0.96563,0.96239,0.94169,0.94844,0.96467,0.95828,0.12375,0.47642,0.24684,0.78802,7.71034e-05,7.71034e-05,7.71034e-05
49,7977.27,0.12523,0.2075,0.13488,0.81927,0.94205,0.95223,0.96605,0.96289,0.94085,0.95099,0.96516,0.95833,0.12008,0.49126,0.24211,0.78489,5.51056e-05,5.51056e-05,5.51056e-05
50,8133.27,0.12285,0.20423,0.13372,0.8186,0.93273,0.95038,0.96637,0.96366,0.93151,0.94915,0.96552,0.95951,0.11855,0.48566,0.23831,0.78325,3.31078e-05,3.31078e-05,3.31078e-05
