epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
30,3407.01,0.29938,0.39826,0.51143,0.90889,0.90662,0.88798,0.94526,0.93021,0.90328,0.88695,0.94457,0.93503,0.1908,0.35237,0.3941,0.83493,0.007129,0.007129,0.007129
31,3536.7,0.29797,0.40023,0.50309,0.90941,0.8514,0.89925,0.91802,0.90029,0.85026,0.89802,0.917,0.90652,0.19394,0.41192,0.44404,0.84353,0.00703,0.00703,0.00703
32,3657.87,0.29653,0.39853,0.50678,0.90771,0.90309,0.88705,0.94396,0.93209,0.90309,0.88705,0.9432,0.93244,0.19925,0.41029,0.39524,0.8427,0.006931,0.006931,0.006931
33,3780.38,0.29751,0.39693,0.50224,0.91181,0.89431,0.91972,0.94819,0.93415,0.89312,0.91849,0.94724,0.93782,0.18248,0.5168,0.37557,0.83229,0.006832,0.006832,0.006832
34,3902.19,0.29222,0.39622,0.48751,0.90678,0.88926,0.8914,0.94305,0.93111,0.88926,0.8914,0.9426,0.93342,0.17612,0.37362,0.371,0.82713,0.006733,0.006733,0.006733
35,4042.23,0.29294,0.39046,0.46925,0.90748,0.92398,0.90084,0.95077,0.9393,0.92321,0.89887,0.94998,0.94061,0.17925,0.43164,0.3523,0.8282,0.006634,0.006634,0.006634
36,4144.66,0.29072,0.39359,0.46545,0.90863,0.91423,0.91365,0.94813,0.93571,0.91423,0.91365,0.94692,0.93637,0.18089,0.45821,0.34638,0.82803,0.006535,0.006535,0.006535
37,4247.21,0.29319,0.38665,0.46165,0.90497,0.91371,0.89059,0.94692,0.93699,0.9125,0.88935,0.94486,0.93429,0.1787,0.43869,0.36422,0.82282,0.006436,0.006436,0.006436
38,4351.06,0.28901,0.38754,0.4609,0.90533,0.91612,0.90468,0.95005,0.93851,0.91356,0.90221,0.94768,0.93981,0.17084,0.36158,0.35544,0.82125,0.006337,0.006337,0.006337
39,4454.49,0.2827,0.37367,0.44927,0.90149,0.92441,0.91285,0.94585,0.93627,0.92429,0.91266,0.94616,0.93681,0.18223,0.4324,0.34216,0.83049,0.006238,0.006238,0.006238
40,4557,0.28239,0.38743,0.44456,0.90226,0.91219,0.88589,0.94176,0.92845,0.91088,0.88465,0.94066,0.93045,0.17945,0.57518,0.3889,0.82938,0.006139,0.006139,0.006139
41,4668.55,0.27969,0.37632,0.43887,0.90174,0.9058,0.90885,0.94054,0.93215,0.90687,0.90989,0.9424,0.93295,0.16969,0.43573,0.34248,0.82019,0.00604,0.00604,0.00604
42,4799.58,0.27726,0.3798,0.42503,0.90241,0.93462,0.89068,0.94705,0.93723,0.93696,0.89295,0.94848,0.93996,0.17264,0.52735,0.3349,0.81877,0.005941,0.005941,0.005941
43,4930.03,0.28127,0.38311,0.42217,0.90132,0.93695,0.89874,0.95614,0.94754,0.93876,0.9017,0.95669,0.94774,0.17498,0.39522,0.32362,0.81882,0.005842,0.005842,0.005842
44,5059.26,0.27989,0.36833,0.42615,0.89957,0.9115,0.89527,0.94478,0.93456,0.91035,0.89403,0.94456,0.93536,0.16696,0.56265,0.35657,0.81698,0.005743,0.005743,0.005743
45,5188.39,0.27802,0.37334,0.42042,0.89897,0.91544,0.92203,0.94845,0.938,0.91424,0.9208,0.94738,0.93852,0.16401,0.44051,0.31561,0.8154,0.005644,0.005644,0.005644
46,5318.34,0.27627,0.37478,0.40858,0.89968,0.91621,0.90585,0.94049,0.93215,0.91494,0.90462,0.93931,0.92974,0.16355,0.44268,0.34094,0.81534,0.005545,0.005545,0.005545
47,5440.36,0.273,0.36798,0.40789,0.898,0.92338,0.91451,0.95516,0.94525,0.92338,0.91451,0.95516,0.94606,0.16032,0.56721,0.30755,0.81784,0.005446,0.005446,0.005446
48,5538.9,0.27906,0.36485,0.39667,0.90053,0.93098,0.89803,0.95749,0.94835,0.93098,0.89803,0.95652,0.94689,0.16805,0.55992,0.3299,0.81728,0.005347,0.005347,0.005347
49,5637.76,0.27213,0.36062,0.39017,0.89756,0.9046,0.92083,0.95237,0.94382,0.9046,0.92083,0.95237,0.94336,0.162,0.50932,0.32853,0.81625,0.005248,0.005248,0.005248
